2023-04-14 14:04:02 INFO  JamesAndJames :130 - I enter Message [[ChromeDriver: chrome on WINDOWS (1f741f2830f833527a9ec7224b716f72)] -> xpath: //*[@id="4586383362"]]
2023-04-15 11:04:697 INFO  JamesAndJames :76 - I click On WhoWeAre
2023-04-15 11:04:583 INFO  JamesAndJames :83 - I verify Text[[ChromeDriver: chrome on WINDOWS (95936c1e3444efb75f80c0aced49542c)] -> xpath: //span[contains(text(),'Our story')]]
2023-04-15 11:04:722 INFO  JamesAndJames :90 - I click speak to an expert[[ChromeDriver: chrome on WINDOWS (95936c1e3444efb75f80c0aced49542c)] -> link text: Speak to an expert]
2023-04-15 11:04:977 INFO  JamesAndJames :96 - I enter first name [[ChromeDriver: chrome on WINDOWS (95936c1e3444efb75f80c0aced49542c)] -> xpath: //*[@id="4545906690"]]
2023-04-15 11:04:102 INFO  JamesAndJames :102 - I enter Last name [[ChromeDriver: chrome on WINDOWS (95936c1e3444efb75f80c0aced49542c)] -> xpath: //*[@id="4545907714"]]
2023-04-15 11:04:230 INFO  JamesAndJames :108 - I enter Company name  [[ChromeDriver: chrome on WINDOWS (95936c1e3444efb75f80c0aced49542c)] -> xpath: //*[@id="4545910786"]]
2023-04-15 11:04:438 INFO  JamesAndJames :114 - I enter Busienss Email [[ChromeDriver: chrome on WINDOWS (95936c1e3444efb75f80c0aced49542c)] -> xpath: //*[@id="4545908738"]]
2023-04-15 11:04:638 INFO  JamesAndJames :119 - I enter Phone number [[ChromeDriver: chrome on WINDOWS (95936c1e3444efb75f80c0aced49542c)] -> xpath: //*[@id="4545914882"]]
2023-04-15 11:04:977 INFO  JamesAndJames :124 - I enter total order [[ChromeDriver: chrome on WINDOWS (95936c1e3444efb75f80c0aced49542c)] -> xpath: //*[@id="4586371074"]]
2023-04-15 11:04:193 INFO  JamesAndJames :130 - I enter Message [[ChromeDriver: chrome on WINDOWS (95936c1e3444efb75f80c0aced49542c)] -> xpath: //*[@id="4586383362"]]
2023-04-16 19:04:551 INFO  JamesAndJames :76 - I click On WhoWeAre
2023-04-16 19:04:540 INFO  JamesAndJames :83 - I verify Text[[ChromeDriver: chrome on WINDOWS (33132e5b720bce5811731749ee672846)] -> xpath: //span[contains(text(),'Our story')]]
2023-04-16 19:04:273 INFO  JamesAndJames :90 - I click speak to an expert[[ChromeDriver: chrome on WINDOWS (33132e5b720bce5811731749ee672846)] -> link text: Speak to an expert]
2023-04-16 19:04:499 INFO  JamesAndJames :96 - I enter first name [[ChromeDriver: chrome on WINDOWS (33132e5b720bce5811731749ee672846)] -> xpath: //*[@id="4545906690"]]
2023-04-16 19:04:680 INFO  JamesAndJames :102 - I enter Last name [[ChromeDriver: chrome on WINDOWS (33132e5b720bce5811731749ee672846)] -> xpath: //*[@id="4545907714"]]
2023-04-16 19:04:828 INFO  JamesAndJames :108 - I enter Company name  [[ChromeDriver: chrome on WINDOWS (33132e5b720bce5811731749ee672846)] -> xpath: //*[@id="4545910786"]]
2023-04-16 19:04:253 INFO  JamesAndJames :114 - I enter Busienss Email [[ChromeDriver: chrome on WINDOWS (33132e5b720bce5811731749ee672846)] -> xpath: //*[@id="4545908738"]]
2023-04-16 19:04:455 INFO  JamesAndJames :119 - I enter Phone number [[ChromeDriver: chrome on WINDOWS (33132e5b720bce5811731749ee672846)] -> xpath: //*[@id="4545914882"]]
2023-04-16 19:04:651 INFO  JamesAndJames :124 - I enter total order [[ChromeDriver: chrome on WINDOWS (33132e5b720bce5811731749ee672846)] -> xpath: //*[@id="4586371074"]]
2023-04-16 19:04:803 INFO  JamesAndJames :130 - I enter Message [[ChromeDriver: chrome on WINDOWS (33132e5b720bce5811731749ee672846)] -> xpath: //*[@id="4586383362"]]
2023-04-19 22:04:507 INFO  IthPharma :73 - I click On WhoWeAre
2023-04-19 22:04:710 INFO  IthPharma :80 - I verify Text[[ChromeDriver: chrome on WINDOWS (45bc3e61314d4cf42e4bae7a02238557)] -> xpath: //strong[contains(text(),'COVID 19')]]
2023-04-19 22:04:527 INFO  IthPharma :73 - I click On WhoWeAre
